"sigla_evento";"nome_evento";"estrato"
LINKDEM;Workshop on Linked Democracy : Artificial Intelligence for Democratic Innovation;B4
LION;Learning and Intelligent Optimization Conference;A4
LISS;International Conference on Logistics, Informatics and Services Sciences;B4
LocalRec;International Workshop on Location-Based Recommendations, Geosocial Networks and Geoadvertising;B4
LocWeb;International Workshop on Location and the Web;B3
LoPaS;Location Privacy and Security Workshop;B4
LPAR;International Conference on Logic for Programming, Artificial Intelligence and Reasoning;A3
LPNMR;International Conference on Logic Programming and Non-monotonic Reasoning;A3
LREC;International Conference on Language Resources and Evaluation;A1
LSFA;Workshop on Logical and Semantic Frameworks, with Applications;B4
LTEC;International Workshop on Learning Technology for Education Challenges;B4
M4IOT;Workshop on Middleware for Context-Aware Applications in the IoT;B3
MABS;International Workshop on Multi-Agent Based Simulation;B2
MANSDNNFV;International Workshop on Management of SDN and NFV Systems;B4
MARMI;International Workshop on Multimedia Analysis and Retrieval for Multimodal Interaction;B4
MASCOTS;International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems;A4
MASLE;Workshop in Multiagent System Based Learning Environments;B4
MASS;Mobility Analytics from Spatial and Social Data;B4
MATES;German Conference on Multiagent System Technologies;B2
Matheuristics;International Workshop on Model-based metaheuristics;B4
MCDM;International Conference on Multiple Criteria Decision Making;B4
MCM;International Conference on Mathematics and Computation in Music;B2
MCPR2;Mexican Conference on Pattern Recognition;B2
MCS;International Workshop on Multiple Classifier Systems Multiple Classifier Systems;B2
MCSoC;International Symposium on Embedded Multicore/Many-core Systems-on-Chip;B3
NetSoftW;IEEE NetSoft Conference and Workshops;A4
MDAI;International Conference on Modeling Decisions for Artificial Intelligence;B3
MDM;IEEE International Conference on Mobile Data Management;A3
MED;Mediterranean Conference on Control and Automation;A4
MEDES;International Conference on Management of Emergent Digital EcoSystems;B2
MEDHOCNET;Mediterranean Ad Hoc Networking Workshop;B2
MEDIAN;Workshop On Manufacturable and Dependable Multicore Architectures at Nanoscale;B4
MEDINFO;World Congress on Medical and Health Informatics;A3
MEMEA;IEEE International Symposium on Medical Measurements and Applications;A4
MESA;IEEE/ASME International Conference on Mechatronic and Embedded Systems and Applications;B4
MetaSel;International Workshop on Meta-Learning and Algorithm Selection;B4
MFCS;International Symposium on Mathematical Foundations of Computer Science;A3
MFI;IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems;B1
MIC;Metaheuristics International Conference;B3
MICAI;Mexican International Conference on Artificial Intelligence;B1
MICCAI;International Conference on Medical Image Computing and Computer Assisted Intervention;A1
MICRO;IEEE/ACM International Symposium on Microarchitecture;A1
MIDDLEWARE;International Middleware Conference;A3
MIE;Medical Informatics Europe;A3
MIG;ACM Siggraph Conference on Motion in Games;A4
MIKON;International Conference on Microwave, Radar and Wireless Communications;B3
MISE;Workshop on Modeling in Software Engineering;B2
MLDM;International Conference on Machine Learning and Data Mining in Pattern Recognition;B2
MLSP;IEEE International Workshop on Machine Learning for Signal Processing;A4
MMAR;International Conference on Methods and Models in Automation and Robotics;A4
MMEDIA-IARIA;International Conferences on Advances in Multimedia;B4
MMM;International Conference on Multimedia Modelling;A3
MMRP;International Workshop on Multilayer Music Representation and Processing;B3
MMSP;International Workshop on Multimedia and Signal Processing;A4
MMSYS;ACM Multimedia Systems Conference;A2
MobiArch;Workshop on Mobility in the Evolving Internet Architecture;B1
MOBICOM;ACM/IEEE International Conference on Mobile Computing and Networking;A1
MOBIHOC;ACM International Symposium on Mobile Ad Hoc Networking and Computing;A2
MOBILECLOUD;International Conference on Mobile Cloud, Computing and Service Engineering;A4
MOBILEHCI;International Conference on Human-Computer Interaction with Mobile Devices and Services Adjunct;A2
MOBILESOFT;International Conference on Mobile Software Engineering and Systems;A4
MOBILWARE;International Conference on MOBILe Wireless MiddleWARE, Operating Systems, and Applications;B3
MOBIQUITOUS;International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services;B1
MobiSys;Annual International Conference on Mobile Systems, Applications, and Services;A1
MOBIWAC;ACM International Symposium on Mobility Management and Wireless Access;B2
MODELS;International Conference on Model Driven Engineering Languages and Systems;A3
MODELSWARD;International Conference on Model-Driven Engineering and Software Development;B1
MODULARITY;International Conference on Modularity;B1
MoMM;International Conference on Advances in Mobile Computing & Multimedia;B2
MoWNeT;International Conference on Selected Topics in Mobile and Wireless Networking;B3
MPPU;Models and Paradigms for Planning under Uncertainty: a Broad Perspective Workshop;B4
MRS;International Symposium on Multi-Robot and Multi-Agent Systems;B3
MS;IEEE International Conference on Mobile Services;B1
MSEC;International Manufacturing Science and Engineering Conference;A4
MSI;International Conference on Modelling, Simulation and Identification;B4
MSN;International Conference on Mobile Ad-Hoc and Sensor Networks;B1
MSR;Working Conference on Mining Software Repositories;A1
MSST;IEEE Symposium on Mass Storage Systems and Technologies;A3
MSVWC;International Conference on Modeling, Simulation and Visualization Methods;B3
MSWIM;ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems;A4
MTD;International Workshop on Managing Technical Debt;A4
MTSR;International Conference on Metadata and Semantics Research;B2
MUCS;IEEE Workshop on Managing Ubiquitous Communications and Services;B4
MULTITEMP;International Workshop on the Analysis of Multitemporal Remote Sensing Images;B4
MUM;International Conference on Mobile and Ubiquitous Multimedia;A4
MVA;IAPR International Conference on Machine Vision Applications;B1
MWE;Workshop on Multiword Expressions;B3
MWSCAS;International Midwest Symposium on Circuits and Systems;B1
NAACL;North American Chapter of the Association for Computational Linguistics Annual Meeting;A1
NABIC;World Congress on Nature and Biologically Inspired Computing;B2
NAFIPS;Annual Conference of the North American Fuzzy Information Processing Society;B3
NCA;IEEE International Symposium on Network Computing and Applications;B1
NDSS;Network and Distributed System Security Symposium;A1
NESY@HLAI;Workshop on Neural-Symbolic Learning and Reasoning;B4
NETSOFT;IEEE Conference on Network Softwarization;A3
NetSys;International Conference on Networked Systems;B1
NETWORKING;IFIP Networking Conference;A2
NETWORKS;International Telecommunications Network Strategy and Planning Symposium;B1
NeurIPS;Neural Information Processing Systems;A1
NEW2AN;International Conference on Internet of Things, Smart Spaces, and Next Generation Networks and Systems;B4
NEWCAS;IEEE International New Circuits and Systems Conference;B1
NFmcp;International Workshop on New Frontiers in Mining Complex Patterns;B2
NFV-SDN;IEEE Conference on Network Function Virtualization and Software Defined Networks;B1
NIME;International Conference on New Interfaces for Musical Expression;A3
NLDB;International Conference on Application of Natural Language to Information Systems;B1
NLPCS;International Workshop on Natural Language Processing and Cognitive Science;B4
NMR;International Workshop on Non-Monotonic Reasoning;B3
NOC;European Conference on Networks and Optical Communications;B2
NOCS;ACM/IEEE International Symposium on Networks-on-Chip;A3
NOF;International Conference on Network of the Future;B2
NOMS;IEEE/IFIP Network Operations and Management Symposium;A3
NORCAS;Nordic Circuits and Systems Conference;B3
NordiCHI;Nordic Conference on Human-Computer Interaction;A4
NSDI;Networked Systems Design and Implementation;A1
NSS;Network and System Security;A4
NTMS;IFIP International Conference on New Technologies, Mobility and Security;B2
NWPT;Nordic Workshop on Programming Theory;B4
OCEAN;IEEE Oceans Conference;A4
OFC;IEEE Optical Fiber Communication Conference;A1
OM;International Workshop on Ontology Matching;A4
ONDM;International Conference on Optical Network Design and Modeling;A4
ONTOBRAS;Brazilian Seminar on Ontologies;B3
OOPSLA;Conference on Object-Oriented Programming Systems, Languages, and Applications;A2
OpenSym;International Symposium on Open Collaboration;B1
OPODIS;International Conference on Principles of Distributed Systems;A4
OR;International Conference on Operations Research;B3
OSDI;USENIX Symposium on Operating Systems Design and Implementation;A1
OSS;International Conference on Open Source Systems;B2
OzCHI;Australian Conference on Human-Computer Interaction;A3
P2P;International Conference on Peer-to-Peer Computing;B2
PAAMS;International Conference on Practical Applications of Agents, Multi-Agent Systems and Sustainability;A4
PACBB;International Conference on Practical Applications of Computational Biology & Bioinformatics;A4
PacificVis;IEEE Pacific Visualization Symposium;A3
PACIS;Pacific Asia Conference on Information Systems;A3
PACT;International Conference on Parallel Computing Technologies;B1
PACTT;International Conference on Parallel Architectures and Compilation Techniques;A2
PADS;ACM SIGSIM Conference on Principles of Advanced Discrete Simulation;B1
PAKDD;Pacific-Asia Conference on Knowledge Discovery and Data Mining;A3
PAM;Passive and Active Network Measurement Conference;A2
ParCO;International Conference on Parallel Computing;B1
PATAT;International Conference on the Practice and Theory of Automated Timetabling;B4
PATMOS;International Workshop on Power and Timing Modeling, Optimization and Simulation;B2
PATTERNS;International Conferences on Pervasive Patterns and Applications;B4
PCS;Picture Coding Symposium;A4
PDC;Participatory Design Conference;A4
PDCAT;International Conference on Parallel and Distributed Computing, Applications and Technologies;B2
PDES;IFAC International Conference on Programmable Devices and Embedded Systems;B4
PDP;Euromicro International Conference on Parallel, Distributed and Network-Based Processing;A3
PDPTAWC;International Conference on Parallel and Distributed Processing Techniques and Applications;B2
PE-WASUN;ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks;B4
PECCS;Pervasive and Embedded Computing and Communication Systems;B2
PERCOM;International Conference on Pervasive Computing and Communications;A2
PerComW;IEEE International Conference on Pervasive Computing and Communication Workshops;A2
PervasiveHealth;International Conference on Pervasive Computing Technologies for Healthcare;A3
PESGM;IEEE Power & Energy Society General Meeting;A1
PESOS;International Workshop on Principles of Engineering Service-Oriented and Cloud Systems;B3
PET;Privacy Enhancing Technologies;A2
PETRA;ACM International Conference on PErvasive Technologies Related to Assistive Environments;A4
PETS;Proceedings on Privacy Enhancing Technologies;A4
PG;Pacific Conference on Computer Graphics and Applications;A1
PGM;International Conference on Probabilistic Graphical Models;B4
PIMRC;International Symposium on Personal, Indoor and Mobile Radio Communications;A2
PKC;International Conference on Practice and Theory in Public Key Cryptography;A2
PLATEAU;Workshop on Evaluation and Usability of Programming Languages and Tools;B3
PLATIAL;International Symposium on Platial Information Science;B4
PLDI;SIGPLAN Conference on Programming Language Design and Implementation;A1
PLOP;Conference on Pattern Languages of Programs;B2
PODC;ACM Symposium on Principles of Distributed Computing;A2
PODS;Symposium on Principles of Database Systems;A2
PoEM;IFIP WG 8.1 Working Conference on the Practice of Enterprise Modelling;B4
POPL;Symposium on Principles of Programming Languages;A1
POST;International Conference on Principles of Security and Trust;A4
PP;SIAM Conference on Parallel Processing for Scientific Computing;B4
PPAM;INTERNATIONAL CONFERENCE ON PARALLEL PROCESSING AND APPLIED MATHEMATICS;B1
PPDP;International Symposium on Principles and Practice of Declarative Programming;B1
PPNIV;Workshop on Planning, Perception and Navigation for Intelligent Vehicles;B4
PPOPP;ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming;A2
PPSN;International Conference on Parallel Problem Solving from Nature;A4
PRDC;Pacific Rim International Symposium on Dependable Computing;B1
PredictGIS;International Workshop on Prediction of Human Mobility;B4
PRIB;IAPR International Conference on Pattern Recognition in Bioinformatics;B3
PRIMA;nternational Conference on Principles and Practice of Multi-Agent Systems;B1
PROFES;International Conference on Product-Focused Software Process Improvement;B1
PROMISE;International Conference on Predictive Models and Data Analytics in Software Engineering;B2
PROPOR;International Conference on Computational Processing of the Portuguese Language;B1
PSB;Pacific Symposium on Biocomputing;A3
PSCC;Power Systems Computation Conference;A3
PSIVT;Pacific-Rim Symposium on Image and Video Technology;B2
PST;International Conference on Privacy, Security and Trust;A4
Q2SWinet;ACM Symposium on QoS and Security for Wireless and Mobile Networks;B3
QEST;International Conference on Quantitative Evaluation of Systems;A4
QMMQ;Quality of Models and Models of Quality Workshop;B4
QoMEX;International Workshop on Quality of Multimedia Experience;A3
QoSA;International ACM Sigsoft Conference on the Quality of Software Architectures;A4
QRS;IEEE International Conference on Software Quality, Reliability and Security;B1
QRSW;IEEE International Conference on Software Quality, Reliability and Security Companion;B2
QUATIC;International Conference on Quality of Information and Communications Technology;B3
RACS;Conference on Research in Adaptive and Convergent Systems;B1
RADECS;European Conference on Radiation Effects on Components and Systems;B1
RAHA;IEEE Internacional Conference on Robotics and Automation for Humanitarian Applications;B4
RAID;International Symposium on Research in Attacks, Intrusions, and Defenses;A3
RAMS;Annual Reliability and Maintainability Symposium;B2
RANLP;International Conference on Recent Advances in Natural Language Processing;A4
RCAR;IEEE International Conference on Real-time Computing and Robotics;B4
RCIS;International Conference on Research Challenges in Information Science;A4
RE;IEEE International Requirements Engineering Conference;A3
RECOMB;International Conference on Research in Computational Molecular Biology;A3
RECONFIG;International Conference on Reconfigurable Computing and FPGAs;B1
RECOSOC;International Symposium on Reconfigurable Communication-centric Systems-on-Chip;B2
RECSYS;ACM Conference on Recommender Systems;A1
REFSQ;International Working Conference on Requirements Engineering: Foundations for Software Quality;A4
RELAW;International Workshop on Requirements Engineering and Law;B3
REM;Workshop on Reactivity, Events and Modularity;B4
RePa;IEEE International Workshop on Requirements Patterns;B3
RESER;International Workshop on Replication in Empirical Software Engineering Research;B3
RFID;IEEE International Conference on RFID;A4
RICE;International Conference on Research in Intelligent and Computing in Engineering;B4
RIECS;European Conference on Radiation and Its Effects on Components and Systems;B1
RO-MAN;IEEE International Symposium on Robot and Human Interactive Communication;A3
ROBIO;IEEE International Conference on Robotics and Biomimetics;A3
ROBOCUP;Robocup International Symposium;A4
RoboSoft;IEEE International Conference on Soft Robotics;B4
ROSE;IEEE International Symposium on Robotic and Sensors Environments;B2
RSP;IEEE International Symposium on Rapid System Prototyping;B2
RTA;International Conference on Rewriting Techniques and Applications;A4
RTAS;IEEE REAL-TIME AND EMBEDDED TECHNOLOGY AND APPLICATIONS SYMPOSIUM;A2
RTCSA;International Conference on Embedded and Real-Time Computing Systems and Applications;A3
RTIS;International Conference on Real Time Intelligent Systems;B4
RTSS;Real-Time Systems Symposium;A3
RuleML;International Web Rule Symposium;B1
RuleML+RR;International Joint Conference on Rules and Reasoning;B4
SAC;ACM Symposium on Applied Computing;A2
SACCONET;International Conference on Smart Communications in Network Technologies;B2
SACI;IEEE International Symposium on Applied Computational Intelligence and Informatics;B2
SACMAT;ACM Symposium on Access Control Models and Technologies;B1
SACRYPT;Workshop on Selected Areas in Cryptography;A3
SAFECOMP;International Conference on Computer Safety, Reliability, and Security;A3
SAICC;Science and Information Conference;A4
SAM;Sensor Array and Multichannel Signal Processing Workshop;A4
SAMOS;International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation;B1
SAMWC;International Conference on Security and Management;B2
SANER;IEEE International Conference on Software Analysis, Evolution and Reengineering;A2
SAP;ACM Symposium on Applied Perception;B1
SARNOFF;IEEE Sarnoff Symposium;B3
SAS;IEEE Sensors Applications Symposium;B1
SASO;International Conference on Self-Adaptive and Self-Organizing Systems;A4
SAST;Brazilian Workshop on Systematic and Automated Software Testing;B1
SAT;International Conference on Theory and Applications of Satisfiability Testing;A3
SBAC-PAD;International Symposium on Computer Architecture and High Performance Computing;A4
SBACPADW;International Symposium on Computer Architecture and High Performance Computing Workshop;B3
SBAI;Simpósio Brasileiro de Automação Inteligente;B4
SBBD;Simpósio Brasileiro de Banco de Dados;A4
SBCARS;Brazilian Symposium on Components, Architectures and Reuse Software;B1
SBCAS;Simpósio Brasileiro de Computação Aplicada à Saúde;B3
SBCCI;Symposium on Integrated Circuits and Systems Design;A4
SBCM;Simpósio Brasileiro de Computação Musical;B1
SBCUP;Simpósio Brasileiro de Computação Ubíqua e Pervasiva;B4
SBES;Brazilian Symposium on Software Engineering;A3
SBESC;Brazilian Symposium on Computing System Engineering;B1
SBGAMES;Simpósio Brasileiro de Jogos e Entretenimento Digital;B1
SBIAGRO;Congresso Brasileiro de Agroinformática;B4
SBIE;Simpósio Brasileiro de Informática na Educação;A3
SBLP;Brazilian Symposium on Programming Languages;A4
SBMF;Brazilian Symposium on Formal Methods;A4
SBMICRO;Symposium on Microelectronics Technology and Devices;B3
SBPO;Simpósio Brasileiro de Pesquisa Operacional;B3
SBQS;Simpósio Brasileiro de Qualidade de Software;B1
SBRC;Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos;A4
SBrT;Simpósio Brasileiro de Telecomunicações e Processamento de Sinais;B4
SBSC;Simpósio Brasileiro de Sistemas Colaborativos;B1
SBSE;Simpósio Brasileiro de Sistemas Elétricos;B4
SBSeg;Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais;B1
SBSI;Simpósio Brasileiro de Sistemas de Informação;A4
SBSR;Simpósio Brasileiro de Sensoriamento Remoto;B2
SBST;International Workshop on Search-Based Software Testing;A4
SBTI;Simpósio Brasileiro de Tecnologia da Informação;B4
SC;International Conference for High Performance Computing, Networking, Storage and Analysis;A1
SCA;ACM SIGGRAPH/Eurographics Symposium on Computer Animation;A3
SCAM;IEEE International Working Conference on Source Code Analysis and Manipulation;B1
SCCC;International Conference of the Chilean Computer Science Society;B3
SCCTSA;International Workshop on Smart City Clouds: Technologies, Systems and Applications;B4
SciVis;IEEE Scientific Visualization;B3
SCSC;Summer Computer Simulation Conference;B3
SCSM;International Conference on Social Computing and Social Media;B2
SDH;International Symposium on Spatial Data Handling;B4
SDIEV;IEEE Symposium on Differential Evolution;B3
SDM;SIAM International Conference on Data Mining;A2
SDPC;International Conference on Sensing, Diagnostics, Prognostics, and Control;B4
SE4Science;International Workshop on Software Engineering for Science;B3
SEA;International Symposium on Experimental Algorithms;A3
SEAMS;International Symposium on Software Engineering for Adaptive and Self-Managing Systems;A3
SEARIS;Workshop on Software Engineering and Architectures for Realtime Interactive Systems;B3
SEC;International Conference on ICT Systems Security and Privacy Protection;A4
SeCoGis;International Workshop on Semantic and Conceptual Issues in Geographic Information Systems;B3
SECON;IEEE International Conference on Sensing, Communication and Networking;A2
SECRYPT;International Conference on Security and Cryptography;B1
SECURWARE-IARIA;IARIA International Conference on Emerging Security Information, Systems and Technologies;B4
SEFM;International Conference on Software Engineering and Formal Methods;A3
SEGAH;International Conference on Serious Games and Applications for Health;A3
SEKE;International Conference on Software Engineering and Knowledge Engineering;B1
SEM;Joint Conference on Lexical and Computational Semantics;A4
SEMEVAL;International Workshop on Semantic Evaluation;A1
SEMISH;Seminário Integrado de Software e Hardware;B1
SENSORNETS;International Conference on Sensor Networks;B2
SENSORS;IEEE Sensors;A4
SenSys;ACM Conference on Embedded Network Sensor Systems;A2
SEPLN;CONFERENCE OF THE SPANISH SOCIETY FOR NATURAL LANGUAGE PROCESSING;B4
SERPWC;International Conference on Software Engineering Research and Practice;B3
SERVICES;IEEE World Congress on Services;A4
SESCPS;International Workshop on Software Engineering for Smart Cyber-Physical Systems;B3
SESENA;International Workshop on Software Engineering for Sensor Network Applications;B4
SESoS;International Workshop on Software Engineering for Systems-of-Systems;B2
SET;Software Engineering Track;B2
SGAI;SGAI International Conference on Artificial Intelligence;B3
SGP;Eurographics Symposium on Geometry Processing;A1
SI3D;ACM Symposium on Interactive 3D Graphics and Games;A3
SIBGRAPI;Conference on Graphics, Patterns and Images;A3
SIED: EnPED;Simpósio Internacional de Educação a Distância e Encontro de Pesquisadores em Educação a Distância;B4
SIES;International Symposium on Industrial Embedded Systems;B1
SIGCOMM;ACM SIGCOMM Conference;A1
SIGCSE;ACM Technical Symposium on Computer Science Education;A2
SIGDIAL;Annual Meeting of the Special Interest Group on Discourse and Dialogue;A2
SIGDOC;ACM International Conference on Design of Communication;B2
SIGE;Simpósio de Aplicações Operacionais em Áreas de Defesa;B4
SIGGRAPH;International Conference and Exibition on Computer Graphics and Interactive Techniques;A3
SIGGRAPH Asia;ACM International Conference On Computer Graphics & Interactive Techniques / Asia;A1
SIGIR;International ACM SIGIR Conference on Research and Development in Information Retrieval;A1
SIGMOD;ACM Conference on Management Data;A1
SIGNLL;Conference on Computational Natural Language Learning;A2
SII;IEEE/SICE International Symposium on System Integration;B1
SIIE;Simpósio Internacional de Informática Educatica;B2
SIIM;Simpósio de Instrumentação e Imagens Médicas;B4
SIMBig;ANNUAL INTERNATIONAL SYMPOSIUM ON INFORMATION MANAGEMENT AND BIG DATA;B4
SIMEC;Simpósio de Mecânica Computacional;B4
SIMPAR;IEEE International Conference on Simulation, Modeling, and Programming for Autonomous Robots;B3
SIMPDA;INTERNATIONAL SYMPOSIUM ON DATA-DRIVEN PROCESS DISCOVERY AND ANALYSIS;B3
SIMULTECH;International Conference on Simulation and Modeling Methodologies, Technologies and Applications;B3
SIMUTOOLS;International Conference on Simulation Tools and Techniques;B1
SIN;International Conference on Security of Information and Networks;B1
SISAP;nternational Conference on Similarity Search and Applications;B2
SIYSTOR;ACM International on Systems and Storage Conference;B2
SLERD;Conference on Smart Learning Ecosystems and Regional Development;B4
SLISW;Simposio Latinoamericano de Ingeniería de Software;B4
SLT;Workshop on Spoken Language Technology;A3
SMARTGREENS;International Conference on Smart Grids and Green ICT Systems;B2
SMARTGRIDCOMM;IEEE International Conference on Smart Grid Communications;A3
SmartObjects;Workshop on Interacting with Smart Objects;B4
SMC;IEEE International Conference on Systems, Man and Cybernetics;A3
SMusC;Sound and Music Computing Conference;A4
SNAA;Workshop on Social Network Analysis in Applications;B4
SOC;International Symposium on System-on-Chip;B2
SOCA;IEEE Conference on Service-Oriented Computing and Applications;A4
SOCC;IEEE International System-on-Chip Conference;B4
SoCG;Symposium on Computational Geometry;A3
SOCIALCOM;International Conference on Social Computing;A3
SOCIALEDU;International Workshop on Social Computing in Digital Education;B4
SOCINFO;International Conference on Social Informatics;A3
SOCO;International Conference on Software Composition;B4
SOCS;International Symposium on Combinatorial Search;A4
SODA;ACM-SIAM Symposium on Discrete Algorithms;A1
SOFSEM;International Conference on Current Trends in Theory and Practice of Computer Science;B2
SOFTCOM;International Conference on Software, Telecommunications and Computer Networks;B1
SOFTENG-IARIA;IARIA International Conference on Advances and Trends in Software Engineering;B4
SoftStart;International Workshop on Software Engineering for Startups;B4
SORT;IEEE Workshop on Self-Organizing Real-Time Systems;B4
SOSE;IEEE International Symposium on Service-Oriented System Engineering;A3
SoSEC;Annual Systems-of-Systems Conference;A4
SOSP;ACM Symposium on Operating Systems Principles;A1
SOSR;Symposium on Software Defined Networking Research;A3
SOUPS;Symposium On Usable Privacy and Security;A2
SoWeMi;International Workshop on Mining the Social Web;B4
SPA;Signal Processing: Algorithms, Architectures, Arrangements, and Applications Conference;B2
SPAA;ACM Symposium on Parallelism in Algorithms and Architectures;A3
SPACE;International Conference on Security, Privacy, and Applied Cryptography Engineering;B1
SpatialBigData;Spatial Big Data and Machine Learning in GIScience;B4
SPIE;SPIE - The International Society for Optical Engineering;A3
SPIEMI;SPIE Medical Imaging;A4
SPIN;International SPIN symposium on Model Checking of Software;A4
SPIRE;International Symposium on String Processing and Information Retrieval;B1
SPLASH;ACM SIGPLAN CONFERENCE ON SYSTEMS, PROGRAMMING, LANGUAGES, AND APPLICATIONS: SOFTWARE FOR HUMANITY;B3
SRDS;IEEE Symposium on Reliable Distributed Systems;A3
SSBSE;International Symposium on Search Based Software Engineering;A4
SSC;Social Simulation Conference;B4
SSCC;International Symposium on Security in Computing and Communications;B2
SSCI;IEEE SYMPOSIUM SERIES ON COMPUTATIONAL INTELLIGENCE;A4
SSDBM;International Conference on Scientific and Statistical Database Management;A3
SSIAI;Southwest Symposium on Image Analysis and Interpretation;B2
SSM;SOUTH SYMPOSIUM ON MICROELECTRONICS;B4
SPLC;International Software Product Line Conference: New Directions in Systems and Software Product Line Engineering;A2
SSPR;International Workshop on Structural and Syntactic Pattern Recognition;B1
SSRR;International Symposium on Safety, Security and Rescue Robotics;A3
SSTD;International Symposium on Spatial and Temporal Databases;A3
STACS;Symposium on Theoretical Aspects of Computer Science;A3
STAG;Eurographics Italian Chapter Conference;B4
STIL;Brazilian Symposium in Information and Human Language Technology;B1
STOC;Annual ACM Symposium on Theory of Computing;A1
SUGARLOAFPLOP;Latin American Conference on Pattern Languages of Programming;B4
SUI;Symposium on Spatial User Interaction;A3
SUM;International Conference on Scalable Uncertainty Management;B1
SUMMERSIM;Summer Simulation Multi-conference;B3
SustainIT;Conference on Sustainable Internet and ICT for Sustainability;B4
SVR;Symposium on Virtual and Augmented Reality;A4
SWAT;Scandinavian Workshop on Algorithm Theory;A4
SWEET;Workshop on Scalable Workflow Execution Engines and Technologies;B4
SWWSWC;International Conference on Semantic Web and Web Services;B4
SYSCON;IEEE International Systems Conference;A4
SYSMUS;International Conference of Students of Systematic Musicology;B4
SYSTOL;Conference on Control and Fault-Tolerant Systems;A4
T&D;IEEE/PES Transmission and Distribution Conference and Exposition;A3
T&DLA;IEEE PES Transmission & Distribution Conference and Exposition Latin America;B2
TABLEAUX;International Conference on Automated Reasoning with Analytic Tableaux and Related Methods;A4
TABLETOPS;International Conference on Interactive Tabletops and Surfaces;A3
TAC;Text Analysis Conference;B1
TACAS;International Conference on Tools and Algorithms for the Construction and Analysis of Systems;A1
TAMIDA;SIMPOSIO TEORÍA Y APLICACIONES DE MINERÍA DE DATOS;B4
TAP;International Conference on Tests and Proofs;B1
TARK;Conference on Theoretical Aspects of Rationality and Knowledge;B3
TAROS;Conference Towards Autonomous Robotics Systems;B2
TASE;Theoretical Aspects of Software Engineering;B1
TCC;Theory of Cryptography;A2
TechDebt;International Conference on Technical Debt;B4
TEEM;Technological Ecosystems for Enhancing Multiculturality;A2
TEI;International Conference on Tangible, Embedded and Embodied Interaction;A2
TextGraphs;Workshop on Graph-based Methods for Natural Language Processing;B4
TIMBRE;Interdisciplinary Workshop on Timbre;B4
TIME;International Symposium on Temporal Representation and Reasoning;B1
TISE;Congreso Internacional de Informática Educativa;B4
TLCA;International Conference on Typed Lambda Calculi and Applications;B2
ToRPorEsp;Workshop on Tools and Resources for Automatically Processing Portuguese and Spanish;B4
TPDL;International Conference on Theory and Practice of Digital Libraries;B1
TREC;Text Retrieval Conference;A3
TRUST;International Workshop on Trust in Agent societies;B4
TRUSTCOM;International Conference on Trust, Security and Privacy in Computing and Communications;A3
TSD;International Conference on Text, Speech and Dialogue;B1
TVX;International Conference on Interactive Experiences for Television and Online Video;B1
UAHCI;International Conference Universal Access in Human-Computer Interaction;A4
UAI;Conference on Uncertainty in Artificial Intelligence;A2
UBICOMM-IARIA;IARIA International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies;B4
UbiComp;ACM International Joint Conference on Pervasive and Ubiquitous Computing;A1
UBIMUS;Workshop de Música Ubíqua;B4
UCAMI;International Conference on Ubiquitous Computing and Ambient Intelligence;B2
UCC;IEEE/ACM International Conference on Utility and Cloud Computing;A3
UCHPC;Workshop on UnConventional High Performance Computing;B4
UIC;IEEE International Conference on Ubiquitous Intelligence and Computing;B2
UIST;ACM User Interface Software Technology Symposium;A1
UKSIM;International Conference on Computer Modelling and Simulation;B1
UMAP;International Conference on User Modeling, Adaptation and Personalization;A3
UNET;International Symposium on Ubiquitous Networking;B3
UNIF;International Workshop on Unification;B4
URSW;International Workshop on Uncertainty Reasoning for the Semantic Web;B4
USENIX Security;USENIX Security Symposium;A1
USENIXATC;USENIX Annual Technical Conference;A1
USIHC;Congresso Internacional de Ergonomia e Usabilidade de Interfaces Humano Computador;B4
VALUETOOLS;EAI International Conference on Performance Evaluation Methodologies and Tools;B1
VAMOS;International Workshop on Variability Modelling of Software-intensive Systems;B1
VAMR;International Conference on Virtual, Augmented and Mixed Reality;A4
VarDial;Workshop on NLP for Similar Languages, Varieties and Dialects;B1
VAST;IEEE Conference on Visual Analytics Science and Technology;A3
VCIP;IEEE International Conference on Visual Communications and Image Processing;B1
VECIMS/CIVEMSA;IEEE International Conference on Virtual Environments Human-Computer Interfaces and Measurement Systems;B2
VECPAR;International Meeting on High Performance Computing for Computational Science;B4
VEM;Workshop on Software Visualization, Evolution and Maintenance;B1
Videojogos;Conference on Videogame Sciences and Arts;B4
VISAPP;International Conference on Computer Vision Theory and Applications;A3
VISSOFT;IEEE Working Conference on Software Visualization;A4
VLDB;International Conference on Very Large Data Bases;A1
VLHCC;IEEE Symposium on Visual Languages and Human-Centric Computing;A3
