"sigla_evento";"nome_evento";"estrato"
CBTMS;Congresso Brasileiro de Telemedicina e Telesaúde;B4
CC;International Conference on Compiler Construction;A4
CCC;IEEE Conference on Computational Complexity;A3
CCCG;Canadian Conference on Computational Geometry;B2
CCECE;Canadian Conference on Electrical and Computer Engineering;A4
CCGRID;IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing;A2
CCIS;Conference of Computational Interdisciplinary Science;B4
CCNC;Annual IEEE Consumer Communications & Networking Conference;A3
CCS;ACM Symposium on Computer and Communications Security;A1
CCSI;Workshop on Core Computations on Spatial Information;B4
CDC;IEEE Conference on Decision and Control;A1
CDH;International Conference on Digital Health;B1
CDVE;International Conference on Cooperative Design, Visualization, and Engineering;B1
CEC;IEEE Congress on Evolutionary Computation;A1
CEDEM;International Conference for E-Democracy and Open Government;B4
CELDA;Cognition and Exploratory Learning in Digital Age;B4
CENTERIS;Conference on ENTERprise Information Systems;A4
CF;ACM International Conference on Computing Frontiers;A4
CGC;International Conference on Cloud and Green Computing;A4
CGI;Computer Graphics International Conference;B3
CGIM;International Conference on Computer Graphics and Imaging;B3
CGO;International Symposium on Code Generation and Optimization;A2
CHASE;International Workshop on Cooperative and Human Aspects of Software Engineering;A4
CHES;Conference on Cryptographic Hardware and Embedded Systems;A1
CHI;ACM Conference on Human Factors in Computing Systems;A1
CHIIR;Conference on Human Information Interaction and Retrieval;B2
CHIPlay;ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play;A3
CIARP;Iberoamerican Congress on Pattern Recognition;A4
CIBCB;IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology;A4
CIbSE;Conferencia Iberoamericana de Software Engineering;B2
CIC;International Conference on Collaboration and Internet Computing;B2
CICC;IEEE Custom Integrated Circuits Conference;A3
CICLING;International Conference on Intelligent Text Processing and Computational Linguistics;A3
CICOMMS;Symposium on Computational Intelligence for Communication Systems and Networks;B3
CICS;Symposium on Computational Intelligence in Cyber Security;B3
CIDI;Congresso Internacional de Design da Informação;B4
CIDM;Symposium on Computational Intelligence and Data Mining;B1
CIDR;Biennial Conference on Innovative Data Systems Research;A2
CiE;Computability in Europe;B1
CIG;IEEE Conference on Computational Intelligence and Games;A2
CIKM;ACM International Conference on Information and Knowledge Management;A1
CILAMCE;Iberian Latin American Congress on Computational Methods;B4
CIMENICS;International Congress on Numerical Methods in Engineering and Applied Sciences;B4
CIMSIVP;IEEE Symposium on Computational Intelligence for Multimedia, Signal and Vision Processing;B3
CISIS;International Conference on Complex, Intelligent, and Software Intensive Systems;A4
CISRC;Cyber Security and Information Intelligence Research Workshop;B2
CISTI;Iberian Conference on Information Systems and Technologies;A4
CIT;IEEE International Conference on Computer and Information Technology;B3
CITS;International Conference on Computer, Information, and Telecommunication Systems;B2
CIVTS;IEEE Symposium on Computational Intelligence in Vehicles and Transportation Systems;B2
CL;Corpus Linguistics Conference;B3
CL4LC;Workshop on Computational Linguistics for Linguistic Complexity;B4
CLEF;Conference and Labs of the Evaluation Forum;B3
CLEI;Conferencia Latinoamericana de Informática;B2
CLIHC;Latin American Conference on Human Computer Interaction;B3
CLOSER;International Conference on Cloud Computing and Services Science;A4
CloudCom;IEEE International Conference on Cloud Computing Technology and Science;A2
CLOUDCOMPUTING-IARIA;IARIA International Conference on Cloud Computing, GRIDs, and Virtualization;B3
CLOUDDB;IEEE International workshop on Cloud data management;B4
CloudNet;IEEE International Conference on Cloud Networking;A2
CLOUDTECH;International Conference on Cloud Computing Technologies and Applications;B3
CLUSTER;IEEE International Conference on Cluster Computing;A3
CMBBE;International Symposium on Computer Methods in Biomechanics and Biomedical Engineering - 29;B4
CMC;International Conference on Concept Mapping;B3
CMMR;International Symposium on Computer Music Multidisciplinary Research;A4
CMN;Congress on Numerical Methods in Engineering;B4
CMSB;International Conference on Computational Methods in Systems Biology;B1
CNMAC;Congresso Nacional de Matemática Aplicada e Computacional;B3
CNS;IEEE Conference on Communications and Network Security;A3
CNSM;International Conference on Network and Service Management;A3
CoARCH;Workshop On Computing Techniques For Spatio-Temporal Data in Archaeology And Cultural Heritage - 21;B4
CobRA;International Workshop on Exploring Component-based Techniques for Constructing Reference Architectures;B4
COCOA;International Conference on Combinatorial Optimization and Applications;B2
COCOON;International Computing and Combinatorics Conference;A4
CODASPY;ACM Conference on Data and Application Security and Privacy;A2
CODES+ISSS;International Conference on Hardware/Software Codesign and System Synthesis;A3
COG;IEEE Conference on Games;A3
COGNISE;International Workshop on Cognitive Aspects of Information Systems Engineering;B4
COGNITIVE-IARIA;IARIA International Conference on Advanced Cognitive Technologies and Applications;B3
COGSCI;Annual Meeting of the Cognitive Science Society;A2
CogSIMA;IEEE International Multi-Disciplinary Conference on Cognitive Methods in Situation Awareness and Decision Support;B2
