"producao_issn";"nome_periodico";"estrato"
"00978493";COMPUTERS & GRAPHICS;A2
"03608352";COMPUTERS & INDUSTRIAL ENGINEERING;A1
"08981221";COMPUTERS & MATHEMATICS WITH APPLICATIONS (1987);A1
"03050548";COMPUTERS & OPERATIONS RESEARCH;A1
"01674048";COMPUTERS & SECURITY;A1
"03601315";COMPUTERS AND EDUCATION;A1
"01681699";COMPUTERS AND ELECTRONICS IN AGRICULTURE;A1
"00104825";COMPUTERS IN BIOLOGY AND MEDICINE;A1
"15443574";COMPUTERS IN ENTERTAINMENT;B3
"15443574";COMPUTERS IN ENTERTAINMENT (CIE);B3
"07475632";COMPUTERS IN HUMAN BEHAVIOR;A1
"01663615";COMPUTERS IN INDUSTRY;A1
"01989715";COMPUTERS, ENVIRONMENT AND URBAN SYSTEMS;A1
"15382931";COMPUTERS, INFORMATICS, NURSING (PRINT);A3
"14365057";COMPUTING (WIEN. INTERNET);A2
"0010485X";COMPUTING (WIEN. PRINT);A2
"13359150";COMPUTING AND INFORMATICS;B2
"15219615";COMPUTING IN SCIENCE & ENGINEERING (PRINT);A2
"11343478";COMUNICAR (HUELVA);A1
"15320626";CONCURRENCY AND COMPUTATION;A3
"10969128";CONCURRENCY AND COMPUTATION: PRACTICE & EXPERIENCE;SQ
"1982176X";CONEXÕES : CIÊNCIA E TECNOLOGIA;SQ
"16782089";CONTEXTUS (FORTALEZA);SQ
"03248569";CONTROL AND CYBERNETICS;B4
"09670661";CONTROL ENGINEERING PRACTICE;A1
"0010938X";CORROSION SCIENCE;A1
"21514755";CREATIVE EDUCATION;SQ
"21514771";CREATIVE EDUCATION;SQ
"0011183X";CROP SCIENCE;A2
"19835930";CULTURAS MIDIÁTICAS;SQ
"13892029";CURRENT GENOMICS;A4
"09298673";CURRENT MEDICINAL CHEMISTRY;A2
"19343396";CURRENT PROTOCOLS IN BIOINFORMATICS;A2
"15272737";CURRENT UROLOGY REPORTS (PRINT);A2
"18082882";CUSTOS E @GRONEGÓCIO ONLINE;B3
"19252676";CYBER JOURNALS: MULTIDISCIPLINARY JOURNALS IN SCIENCE AND TECHNOLOGY;SQ
"09070877";CYBERNETICS & HUMAN KNOWING;SQ
"10434666";CYTOKINE;A2
"15524922";CYTOMETRY. PART A;A2
"10829873";D-LIB MAGAZINE;A2
"23065729";DATA;A3
"0169023X";DATA & KNOWLEDGE ENGINEERING;A3
"23523409";DATA IN BRIEF;A3
"13845810";DATA MINING AND KNOWLEDGE DISCOVERY;A1
"1573756X";DATA MINING AND KNOWLEDGE DISCOVERY (DORDRECHT. ONLINE);A1
"17580463";DATABASE: THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION;A2
"01679236";DECISION SUPPORT SYSTEMS;A1
"19805764";DEMENTIA & NEUROPSYCHOLOGIA;B1
