"curriculo_id";"titulo_artigo";"nome_evento";"titulo_anais_ou_proceedings";"ano_trabalho"
1711180190759554;Simulated Annealing aplicado ao problema do empacotamento unidimensional;VII ESCOLA REGIONAL DE COMPUTAÇÃO DO CEARÁ, MARANHÃO E PIAUÍ;Anais da VII Escola Regional de Computação do Ceará, Maranhão e Piauí;2019
1711180190759554;A biased random-key genetic algorithm for the traffic counting location problem;"2019 8th Brazilian Conference on Intelligent Systems (BRACIS)";"2019 8th Brazilian Conference on Intelligent Systems (BRACIS)";2019
1711180190759554;REVISÃO SISTEMÁTICA SOBRE O PROBLEMA DE LOCALIZAÇÃO DE SENSORES EM REDES VISANDO A REDUÇÃO DA EVASÃO DO TRÁFEGO RODOVIÁRIO: ABORDAGENS, ALGORITMOS E APLICAÇÕES;ANPET (Associação Nacional de Pesquisa e Ensino em Transportes);"34º ANPET";2020
1711180190759554;A BIASED RANDOM KEY GENETIC ALGORITHM TO SOLVE THE NETWORK SENSOR LOCATION PROBLEM WITH MONITORED LANES;ANPET (Associação Nacional de Pesquisa e Ensino em Transportes);"34º ANPET";2020
2352727269839328;rMiíase: Um aplicativo móvel para registro de casos de miíase;VI Jornada de Informática do Maranhão;Anais da JIM 2016;2016
2352727269839328;Home e-Care: Monitoramento de quedas em idosos através de smartwatches;XV Congresso Brasileiro de Informática em Saúde;CBIS 2016 - Artigos Completos;2016
2352727269839328;Desenvolvimento de aplicativo para dispositivos móveis para registro de casos de miíases: rMiíase;XIX Congresso Brasileiro de Parasitologia Veterinária;Anais do Congresso Brasileiro de Parasitologia Veterinária;2016
2352727269839328;Procedural terrain generator for platform games using Markov chain;XVII Brazilian Symposium on Computer Games and Digital Entertainment;Proceedings of SBGAMES 2018;2018
2352727269839328;Methodolgy Based on Texture, Color and Shape Features For Traffic Light Detection and Recognition;"2018 International Joint Conference on Neural Networks";IJCNN2018 Proceedings;2018
2352727269839328;A collaborative application for incidence data recording and geographic distribution of myiasis;XIX Brazilian Symposium on Geoinformatics;Proceedings of GEOINFO 2018;2018
2446301582459104;Um Estudo sobre Características Extraídas de Imagens Infravermelhas para Detecção de Anormalidades de Mama;"Workshop de Informática Médica";"16 Workshop de Informática Médica";2016
2446301582459104;Strabismus mobile: um aplicativo para diagóstico de estrabismo;Congresso Brasileiro de Informática em Saúde - CBIS 2016;XV Congresso Brasileiro de Informática em Saúde - CBIS 2016;2016
2446301582459104;Segmentação de microcalcificações em imagens mamográficas utilizando algoritmo firefly;Congresso Brasileiro de Informática em Saúde - CBIS 2016;XV Congresso Brasileiro de Informática em Saúde - CBIS 2016;2016
2446301582459104;Predição volumétrica de lesões pulmonares aplicando modelo oculto de Markov;Congresso Brasileiro de Informática em Saúde - CBIS 2016;XV Congresso Brasileiro de Informática em Saúde - CBIS 2016;2016
2446301582459104;Mass segmentation in mammographic images using similarity indexes;Congresso Brasileiro de Informática em Saúde - CBIS 2016;XV Congresso Brasileiro de Informática em Saúde - CBIS 2016;2016
2446301582459104;Lung nodule classification based on shape distributions;the 31st Annual ACM Symposium;"Proceedings of the 31st Annual ACM Symposium on Applied Computing - SAC '16";2016
2446301582459104;Diagnóstico de Glaucoma em Retinografias Baseado em Geoestatística;Congresso Brasileiro de Informática em Saúde;XV Congresso Brasileiro de Informática em Saúde;2016
2446301582459104;Detecção de Anomalias em Termografia Dinâmica das Mamas;"Workshop de Informática Médica";"16 Workshop de Informática Médica";2016
2446301582459104;Classification of Malignancy of Lung Nodules in CT Images Using Convolutional Neural Network;"Workshop de Informática Médica";"16 Workshop de Informática Médica";2016
2446301582459104;Análise temporal de lesões em mamografias utilizando índices de similaridade;Congresso Brasileiro de Informática em Saúde - CBIS 2016;XV Congresso Brasileiro de Informática em Saúde - CBIS 2016;2016
2446301582459104;Abordagem Deep Learning para Classificação de Lesões Mamárias;XVI Workshop de Informática Médica (WIM 2016);Anais do XXXVI congresso da sociedade brasileira de  computação;2016
2446301582459104;A simple approach for biometrics: Finger-knuckle prints recognition based on a Sobel filter and similarity measures;"2016 International Conference on Systems, Signals and Image Processing (IWSSIP)";"2016 International Conference on Systems, Signals and Image Processing (IWSSIP)";2016
2446301582459104;Segmentação automática de medidores eletromecânicos e eletrônico baseado em imagens;Simpósio Brasileiro de Automação Inteligente;XIII Simpósio Brasileiro de Automação Inteligente;2017
2446301582459104;Medição e Validação de Consumo de Energia Elétrica usando Dispositivos Móveis e Processamento de Imagens;"30th Conference on Graphics, Patterns and Images (SIBGRAPI'17)";Workshop of Industry Applications (WIA) in the 30th Conference on Graphics, Patterns and Images (SIBGRAPI'17);2017
